City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-2.02,67,2,4.63,GS,1712884113
1,port-aux-francais,-49.35,70.2167,5.8,85,100,3.44,TF,1712884113
2,kertih,4.5141,103.4483,26.01,94,40,0.0,MY,1712883850
3,peace river,56.2501,-117.286,13.13,31,100,1.79,CA,1712884113
4,vizinga,61.0749,50.1031,4.41,83,80,4.67,RU,1712884113
5,adamstown,-25.066,-130.1015,21.64,54,10,5.45,PN,1712884113
6,afaahiti,-17.75,-149.2833,29.48,86,100,8.12,PF,1712884113
7,santarem,-2.4431,-54.7083,26.07,94,40,1.03,BR,1712884113
8,waitangi,-43.9535,-176.5597,17.68,91,100,5.36,NZ,1712884114
9,bartica,6.4,-58.6167,26.18,91,10,1.31,GY,1712884114
10,ilulissat,69.2167,-51.1,-6.99,93,100,0.0,GL,1712883906
11,albany,42.6001,-73.9662,15.33,80,100,3.13,US,1712883951
12,bamboo flat,11.7,92.7167,30.05,84,20,1.03,IN,1712884114
13,northam,51.0333,-4.2167,9.78,94,100,6.86,GB,1712883956
14,talnakh,69.4865,88.3972,-26.36,97,93,3.95,RU,1712883825
15,thompson,55.7435,-97.8558,0.42,90,100,2.63,CA,1712884111
16,saipan,15.1355,145.701,31.39,62,40,7.72,MP,1712883953
17,qaqortoq,60.7167,-46.0333,-7.68,89,14,2.17,GL,1712883821
18,hithadhoo,-0.6,73.0833,28.61,73,87,1.86,MV,1712883878
19,stanley,54.868,-1.6985,13.21,86,75,5.14,GB,1712883866
20,puerto san jose,13.9256,-90.8244,29.15,75,0,3.44,GT,1712884115
21,weno,7.4515,151.8468,29.97,84,100,4.63,FM,1712883966
22,ghanzi,-21.5667,21.7833,17.61,41,7,3.8,BW,1712884115
23,revda,56.801,59.9303,8.36,92,100,7.21,RU,1712883860
24,vadso,70.0744,29.7487,0.49,80,100,6.69,NO,1712884115
25,edinburgh of the seven seas,-37.0676,-12.3116,18.61,92,9,7.68,SH,1712883878
26,enewetak,11.3474,162.3373,26.83,79,79,8.81,MH,1712883819
27,puerto ayora,-0.7393,-90.3518,25.86,97,98,2.24,EC,1712884115
28,champerico,14.3,-91.9167,29.33,73,12,2.86,GT,1712884116
29,yellowknife,62.456,-114.3525,1.47,88,48,5.88,CA,1712884116
30,ugoofaaru,5.6667,73.0,29.35,74,15,2.48,MV,1712884116
31,shira,54.4911,89.9531,-3.28,93,100,3.24,RU,1712884116
32,constantia,44.1833,28.65,16.5,65,45,2.85,RO,1712883845
33,igarka,67.4667,86.5833,-25.55,99,83,3.13,RU,1712884116
34,al mindak,20.1588,41.2834,17.78,78,3,0.7,SA,1712884116
35,kamakwie,9.5,-12.2333,25.44,67,44,1.79,SL,1712884116
36,hawaiian paradise park,19.5933,-154.9731,22.8,96,100,3.09,US,1712884116
37,kidal,18.4411,1.4078,29.16,10,100,5.33,ML,1712884117
38,ribeira grande,38.5167,-28.7,15.99,94,1,1.34,PT,1712884117
39,rockland,41.1668,-74.0496,16.14,94,100,0.45,US,1712884117
40,tofol,5.3248,163.0078,27.88,83,100,4.63,FM,1712883840
41,isafjordur,66.0755,-23.124,-3.21,94,100,12.37,IS,1712883976
42,iqaluit,63.7506,-68.5145,-4.61,79,100,2.68,CA,1712884117
43,mugia,43.1041,-9.2179,13.84,71,49,1.87,ES,1712884117
44,zheleznodorozhnyy,55.7503,38.0042,9.49,52,100,3.13,RU,1712883853
45,lebu,-37.6167,-73.65,10.59,92,1,1.68,CL,1712884117
46,port mathurin,-19.6833,63.4167,26.74,76,67,4.77,MU,1712884118
47,margaret river,-33.95,115.0667,17.42,63,6,5.69,AU,1712884118
48,harper,4.375,-7.7169,26.16,88,100,1.33,LR,1712884118
49,bilibino,68.0546,166.4372,-9.15,75,56,2.0,RU,1712884118
50,comodoro rivadavia,-45.8667,-67.5,5.92,70,0,2.57,AR,1712883904
51,aur,8.1499,171.1687,27.79,78,76,8.23,MH,1712884118
52,zalari,53.5584,102.5065,2.51,99,100,1.44,RU,1712884118
53,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,29,0,1.0,RU,1712883891
54,la ronge,55.1001,-105.2842,0.44,78,33,2.75,CA,1712884118
55,port elizabeth,-33.918,25.5701,14.5,81,57,0.89,ZA,1712884119
56,pangody,65.85,74.4859,-14.38,91,100,11.84,RU,1712884119
57,massakory,12.996,15.7293,29.89,9,23,6.08,TD,1712884119
58,al majaridah,19.1236,41.9111,27.28,71,9,0.72,SA,1712884119
59,tiksi,71.6872,128.8694,-23.46,90,11,7.22,RU,1712883890
60,taurage,55.2522,22.2897,9.3,89,100,5.09,LT,1712884119
61,lerwick,60.1545,-1.1494,9.0,85,100,9.47,GB,1712884119
62,cascais,38.6979,-9.4215,21.64,67,11,2.68,PT,1712884119
63,tir pul,34.5943,61.269,14.34,65,58,8.52,AF,1712884119
64,kangding,30.0513,101.9603,13.77,46,64,0.74,CN,1712884120
65,bethel,41.3712,-73.414,16.05,89,100,4.02,US,1712883888
66,invercargill,-46.4,168.35,9.45,82,100,2.68,NZ,1712883933
67,sault ste. marie,46.5168,-84.3333,12.16,66,100,2.57,CA,1712884048
68,puerto natales,-51.7236,-72.4875,2.75,91,24,2.22,CL,1712884120
69,benguela,-12.5763,13.4055,25.25,88,100,2.11,AO,1712884120
70,sitka,57.0531,-135.33,7.94,61,20,6.69,US,1712884120
71,mayahi,13.9553,7.6712,29.58,9,100,3.22,NE,1712884095
72,miches,18.9836,-69.0476,24.84,84,22,5.61,DO,1712884120
73,kerikeri,-35.2268,173.9474,24.95,70,0,3.94,NZ,1712884052
74,tura,25.5198,90.2201,26.85,37,0,1.1,IN,1712884121
75,toliara,-23.35,43.6667,23.15,80,99,5.01,MG,1712883948
76,sechura,-5.5569,-80.8222,25.28,66,66,6.56,PE,1712884121
77,ankang,32.68,109.0172,19.86,67,0,0.23,CN,1712884121
78,hasaki,35.7333,140.8333,17.38,84,100,4.31,JP,1712884026
79,rabo de peixe,37.8,-25.5833,17.77,99,20,0.51,PT,1712883939
80,peniche,39.3558,-9.3811,17.47,77,46,3.33,PT,1712884121
81,kedougou,12.5579,-12.1743,32.32,34,6,1.38,SN,1712884122
82,olonkinbyen,70.9221,-8.7187,-7.91,90,100,6.78,SJ,1712884122
